index,start_seconds,end_seconds,word,symbol,distance,second_distance,confidence
1,1.370,1.870,плюс,+,0.349681,0.438028,0.201692
2,2.140,2.640,семь,7,0.252498,0.370574,0.318631
3,3.180,3.670,девять,9,0.286740,0.383272,0.251863
4,4.060,4.480,два,2,0.324438,0.370604,0.124570
5,5.150,5.450,пять,5,0.280880,0.445126,0.368987
6,6.130,6.550,два,2,0.332046,0.368487,0.098893
7,7.120,7.580,один,1,0.251144,0.396823,0.367114
8,8.170,8.780,восемь,8,0.311446,0.387033,0.195298
9,9.220,9.690,один,1,0.266397,0.383542,0.305428
10,10.220,10.740,один,1,0.308092,0.367773,0.162278
11,11.310,11.930,восемь,8,0.333679,0.445756,0.251430
12,12.420,12.780,ноль,0,0.281512,0.404016,0.303215
