index,start_seconds,end_seconds,word,symbol,distance,second_distance,confidence
1,0.480,0.840,плюс,+,0.339872,0.343417,0.010324
2,0.840,1.190,семь,7,0.375502,0.472587,0.205433
3,1.190,1.520,девять,9,0.417110,0.439341,0.050600
4,1.520,1.750,семь,7,0.505960,0.511147,0.010148
5,1.750,2.040,пять,5,0.312921,0.459704,0.319299
6,2.410,2.930,два,2,0.300734,0.458196,0.343658
7,2.930,3.180,семь,7,0.477422,0.533329,0.104825
8,3.180,3.640,семь,7,0.389783,0.421830,0.075971
9,3.640,3.770,пять,5,0.460490,0.557629,0.174200
10,3.770,4.390,семь,7,0.458173,0.460299,0.004618
11,4.390,4.600,восемь,8,0.451485,0.480705,0.060785
12,4.600,4.960,ноль,0,0.421118,0.450683,0.065602
