index;symbol;codepoint;source_file;result_symbol_file;profile_x_file;profile_y_file;width;height;weight_total;q1_top_left_weight;q2_top_right_weight;q3_bottom_left_weight;q4_bottom_right_weight;q1_top_left_density;q2_top_right_density;q3_bottom_left_density;q4_bottom_right_density;center_x;center_y;center_x_norm;center_y_norm;inertia_x;inertia_y;inertia_x_norm;inertia_y_norm
1;א;u05d0;source_symbols/01_u05d0.png;results/01_u05d0/00_symbol.png;results/01_u05d0/01_profile_x.png;results/01_u05d0/02_profile_y.png;37;41;581;157;143;128;153;0.436111;0.376316;0.338624;0.383459;17.941480;19.583477;0.498374;0.489587;61857.201377;55420.010327;40.776006;36.532637
2;ב;u05d1;source_symbols/02_u05d1.png;results/02_u05d1/00_symbol.png;results/02_u05d1/01_profile_x.png;results/02_u05d1/02_profile_y.png;41;42;546;111;135;108;192;0.264286;0.306122;0.257143;0.435374;21.148352;22.346154;0.528709;0.545028;103867.576923;51594.983516;60.317989;29.962244
3;ג;u05d2;source_symbols/03_u05d2.png;results/03_u05d2/00_symbol.png;results/03_u05d2/01_profile_x.png;results/03_u05d2/02_profile_y.png;30;42;431;63;121;97;150;0.200000;0.384127;0.307937;0.476190;15.937355;21.754060;0.549564;0.530587;61301.930394;14481.308585;48.652326;11.493102
4;ד;u05d3;source_symbols/04_u05d3.png;results/04_u05d3/00_symbol.png;results/04_u05d3/01_profile_x.png;results/04_u05d3/02_profile_y.png;38;41;421;102;186;0;133;0.268421;0.489474;0.000000;0.333333;22.881235;14.035629;0.618412;0.350891;53942.465558;28100.061758;34.622892;18.035983
5;ה;u05d4;source_symbols/05_u05d4.png;results/05_u05d4/00_symbol.png;results/05_u05d4/01_profile_x.png;results/05_u05d4/02_profile_y.png;37;42;510;120;162;114;114;0.317460;0.406015;0.301587;0.285714;18.739216;18.176471;0.520534;0.443329;72890.117647;72058.315686;46.904838;46.369573
6;ו;u05d5;source_symbols/06_u05d5.png;results/06_u05d5/00_symbol.png;results/06_u05d5/01_profile_x.png;results/06_u05d5/02_profile_y.png;21;42;286;51;121;0;114;0.242857;0.523810;0.000000;0.493506;13.272727;17.454545;0.663636;0.425721;38104.909091;4990.727273;43.202845;5.658421
7;ז;u05d6;source_symbols/07_u05d6.png;results/07_u05d6/00_symbol.png;results/07_u05d6/01_profile_x.png;results/07_u05d6/02_profile_y.png;24;42;307;108;85;95;19;0.428571;0.337302;0.376984;0.075397;10.511401;17.667752;0.457017;0.430921;34880.110749;5348.710098;34.603284;5.306260
8;ח;u05d7;source_symbols/08_u05d7.png;results/08_u05d7/00_symbol.png;results/08_u05d7/01_profile_x.png;results/08_u05d7/02_profile_y.png;37;42;566;176;162;114;114;0.465608;0.406015;0.301587;0.285714;17.321555;17.644876;0.481154;0.430363;74765.620141;82587.477032;48.111725;53.145095
9;ט;u05d8;source_symbols/09_u05d8.png;results/09_u05d8/00_symbol.png;results/09_u05d8/01_profile_x.png;results/09_u05d8/02_profile_y.png;38;43;606;108;170;165;163;0.270677;0.426065;0.394737;0.389952;18.665017;21.825083;0.504460;0.519645;85511.458746;78800.998350;52.332594;48.225825
10;י;u05d9;source_symbols/10_u05d9.png;results/10_u05d9/00_symbol.png;results/10_u05d9/01_profile_x.png;results/10_u05d9/02_profile_y.png;21;24;179;51;67;0;61;0.425000;0.507576;0.000000;0.462121;11.921788;9.553073;0.596089;0.415351;5672.245810;3814.905028;11.254456;7.569256
11;כ;u05db;source_symbols/11_u05db.png;results/11_u05db/00_symbol.png;results/11_u05db/01_profile_x.png;results/11_u05db/02_profile_y.png;35;43;505;97;154;97;157;0.271709;0.407407;0.259358;0.396465;18.950495;20.964356;0.557368;0.499151;93921.358416;42273.762376;62.406218;28.088879
12;ך;u05da;source_symbols/12_u05da.png;results/12_u05da/00_symbol.png;results/12_u05da/01_profile_x.png;results/12_u05da/02_profile_y.png;35;56;482;93;207;0;182;0.195378;0.410714;0.000000;0.361111;24.020747;22.026971;0.706493;0.400490;126924.649378;32185.792531;64.757474;16.421323
13;ל;u05dc;source_symbols/13_u05dc.png;results/13_u05dc/00_symbol.png;results/13_u05dc/01_profile_x.png;results/13_u05dc/02_profile_y.png;34;57;517;195;100;69;153;0.409664;0.210084;0.139959;0.310345;15.920696;27.255319;0.482445;0.486702;102942.297872;40237.748549;53.117801;20.762512
14;מ;u05de;source_symbols/14_u05de.png;results/14_u05de/00_symbol.png;results/14_u05de/01_profile_x.png;results/14_u05de/02_profile_y.png;40;42;666;182;174;124;186;0.433333;0.414286;0.295238;0.442857;20.809309;19.854354;0.533572;0.484253;97498.872372;87310.782282;58.035043;51.970704
