index;h01_symbol;h01_similarity;h02_symbol;h02_similarity;h03_symbol;h03_similarity;h04_symbol;h04_similarity;h05_symbol;h05_similarity;h06_symbol;h06_similarity;h07_symbol;h07_similarity;h08_symbol;h08_similarity;h09_symbol;h09_similarity;h10_symbol;h10_similarity;h11_symbol;h11_similarity;h12_symbol;h12_similarity;h13_symbol;h13_similarity;h14_symbol;h14_similarity;h15_symbol;h15_similarity;h16_symbol;h16_similarity;h17_symbol;h17_similarity;h18_symbol;h18_similarity;h19_symbol;h19_similarity;h20_symbol;h20_similarity;h21_symbol;h21_similarity;h22_symbol;h22_similarity;h23_symbol;h23_similarity;h24_symbol;h24_similarity;h25_symbol;h25_similarity;h26_symbol;h26_similarity;h27_symbol;h27_similarity
1;ך;0.832492;ן;0.692479;ר;0.640856;ו;0.622245;ד;0.602088;ף;0.599326;ץ;0.535835;נ;0.532089;כ;0.523364;ה;0.497991;ג;0.483337;ל;0.480272;י;0.478136;ק;0.468270;מ;0.468263;ת;0.466526;פ;0.466091;ח;0.463902;א;0.462635;ז;0.462491;ב;0.462181;ע;0.460226;ס;0.458527;צ;0.444826;ט;0.443279;ם;0.425689;ש;0.375041
2;ת;0.850871;ח;0.815916;ה;0.739349;מ;0.723221;ס;0.720862;פ;0.679381;ק;0.657671;ם;0.654241;ט;0.650692;א;0.630652;ש;0.611387;ף;0.607524;ע;0.594324;כ;0.576228;צ;0.565757;ל;0.561377;ץ;0.550883;ב;0.547260;ד;0.495777;ר;0.488092;ג;0.486761;ך;0.480762;ז;0.471411;נ;0.465919;ו;0.449733;ן;0.440231;י;0.425557
3;ו;0.817263;ן;0.709358;ך;0.701313;ר;0.683743;ד;0.611377;נ;0.608833;י;0.570320;ץ;0.553562;ג;0.548978;כ;0.546042;ף;0.531907;ז;0.522914;ל;0.510538;ה;0.499784;ב;0.486449;א;0.480413;ע;0.479975;צ;0.464040;פ;0.457700;מ;0.456327;ח;0.456321;ק;0.452629;ט;0.450339;ת;0.447436;ס;0.446478;ם;0.418020;ש;0.371519
4;ב;0.871233;צ;0.777243;כ;0.761746;ע;0.717252;ט;0.711608;פ;0.678868;ל;0.678409;ג;0.667193;ם;0.661327;א;0.653316;מ;0.649473;נ;0.637845;ס;0.633282;ה;0.601794;ח;0.564689;ת;0.563590;ק;0.554034;ש;0.537795;ץ;0.536682;ן;0.503579;ז;0.499927;ף;0.494750;ך;0.491079;ו;0.485741;ר;0.467673;ד;0.452079;י;0.433721
5;ה;0.852275;ח;0.821158;ת;0.763357;מ;0.719589;ס;0.707615;פ;0.696936;א;0.681694;ט;0.678668;ק;0.669300;כ;0.647130;ע;0.644317;ם;0.642352;ף;0.631458;ל;0.624262;ץ;0.607571;צ;0.603295;ב;0.596158;ש;0.568638;ג;0.541777;ד;0.535429;ר;0.532526;ז;0.522743;ך;0.519205;נ;0.519156;ו;0.499161;ן;0.481947;י;0.466801
6;ו;0.817263;ן;0.709358;ך;0.701313;ר;0.683743;ד;0.611377;נ;0.608833;י;0.570320;ץ;0.553562;ג;0.548978;כ;0.546042;ף;0.531907;ז;0.522914;ל;0.510538;ה;0.499784;ב;0.486449;א;0.480413;ע;0.479975;צ;0.464040;פ;0.457700;מ;0.456327;ח;0.456321;ק;0.452629;ט;0.450339;ת;0.447436;ס;0.446478;ם;0.418020;ש;0.371519
7;י;0.898083;ו;0.654743;ר;0.645305;ד;0.625471;ז;0.592771;ץ;0.543345;ג;0.508557;ך;0.506730;נ;0.493760;ה;0.493434;ל;0.488881;ן;0.481698;ף;0.481389;א;0.479697;כ;0.478742;ע;0.462534;ח;0.456978;ב;0.443094;צ;0.437173;ק;0.434778;ת;0.433004;ט;0.431429;מ;0.425683;פ;0.424654;ס;0.421314;ם;0.390060;ש;0.369745
8;נ;0.805748;ן;0.662268;כ;0.653232;ג;0.644614;ב;0.610538;ל;0.574090;ך;0.567147;ו;0.566750;צ;0.553594;ע;0.546567;ץ;0.521303;פ;0.520648;א;0.516510;ט;0.515250;ה;0.507758;מ;0.505254;ר;0.502400;ז;0.494351;ס;0.493053;ם;0.488186;ף;0.483146;ק;0.475259;ד;0.471910;ח;0.467263;ת;0.463383;י;0.456520;ש;0.411080
9;א;0.863961;ע;0.816135;ט;0.807239;ה;0.767630;צ;0.742825;פ;0.736833;ל;0.731738;ס;0.726046;מ;0.724524;ח;0.721808;ב;0.706814;כ;0.704315;ת;0.680584;ם;0.673340;ק;0.639688;ג;0.625891;ש;0.613228;ץ;0.607361;ז;0.556987;נ;0.556311;ף;0.548962;ר;0.506936;ד;0.503935;ו;0.496545;ך;0.488810;י;0.476083;ן;0.468649
10;א;0.863961;ע;0.816135;ט;0.807239;ה;0.767630;צ;0.742825;פ;0.736833;ל;0.731738;ס;0.726046;מ;0.724524;ח;0.721808;ב;0.706814;כ;0.704315;ת;0.680584;ם;0.673340;ק;0.639688;ג;0.625891;ש;0.613228;ץ;0.607361;ז;0.556987;נ;0.556311;ף;0.548962;ר;0.506936;ד;0.503935;ו;0.496545;ך;0.488810;י;0.476083;ן;0.468649
11;א;0.863961;ע;0.816135;ט;0.807239;ה;0.767630;צ;0.742825;פ;0.736833;ל;0.731738;ס;0.726046;מ;0.724524;ח;0.721808;ב;0.706814;כ;0.704315;ת;0.680584;ם;0.673340;ק;0.639688;ג;0.625891;ש;0.613228;ץ;0.607361;ז;0.556987;נ;0.556311;ף;0.548962;ר;0.506936;ד;0.503935;ו;0.496545;ך;0.488810;י;0.476083;ן;0.468649
