metric,value
source_file,guitar.wav
channels,1
sample_rate_hz,48000
sample_width_bytes,2
frame_count,2419200
duration_s,50.400000
window_size_samples,2400
window_duration_s,0.050000
hop_size_samples,600
hop_duration_s,0.012500
overlap_ratio,0.750000
frequency_resolution_hz,20.000000
quiet_frame_count,431
total_frame_count,4033
quiet_rms_before,0.001081
quiet_rms_after,0.000829
active_rms_before,0.073173
active_rms_after,0.073082
snr_before_db,36.612270
snr_after_db,38.900965
suppression_coefficient,1.000000
energy_time_step_s,0.100000
energy_frequency_step_hz,40.000000
peak_count,6
top_peak_time_center_s,11.650000
top_peak_dominant_freq_center_hz,740.000000
top_peak_total_energy,216836.732330
